City Name,City ID,Country Code,Longitude,Latitude,Temp,Feels Like Temp,Min Temp,Max Temp,Pressure,Humidity,Visibility,Wind Speed,Wind Temp,Sunrise,Sunset,Cloudiness
Tilichiki,2120591,RU,166.1,60.4667,-10.44,-15.23,-10.44,-10.44,1031,94,1911,2.39,36,1647716344,1647760046,100
Isangel,2136825,VU,169.2667,-19.55,26.77,29.65,26.77,26.77,1006,85,10000,3.13,292,1647715593,1647759278,93
Rio Grande,3451138,BR,-52.0986,-32.035,19.41,19.05,19.41,22.06,1020,63,10000,7.23,207,1647682257,1647726083,93
Kirensk,2022083,RU,108.1119,57.7853,-8.37,-14.84,-8.37,-8.37,1019,93,648,4.31,221,1647644018,1647687437,100
Durango,4011741,MX,-104.8333,24.8333,10.61,8.38,10.61,10.61,1020,25,10000,0.58,333,1647695055,1647738592,0
Skibbereen,2961459,IE,-9.2667,51.55,10.62,9.85,10.62,10.62,1026,81,10000,10.74,121,1647672143,1647715642,100
Lorengau,2092164,PG,147.2712,-2.0226,28.2,31.06,28.2,28.2,1008,70,10000,3.71,79,1647720911,1647764515,48
Rāzole,1258269,IN,81.8333,16.4833,24.67,25.44,24.67,24.67,1005,86,10000,2.25,153,1647650273,1647693794,0
Rasrā,1258380,IN,83.85,25.85,31.78,29.73,31.78,31.78,1002,19,10000,2.56,358,1647649806,1647693293,11
Pizarro,3672086,CO,-77.366,4.9533,25.35,26.21,25.35,25.35,1012,87,10000,1.27,147,1647688443,1647732023,100
Sassandra,2281951,CI,-6.0833,4.95,30.82,35.21,30.82,30.82,1008,63,10000,4.4,203,1647671341,1647714917,38
Samarai,2132606,PG,150.6667,-10.6167,28.69,33.31,28.69,28.69,1007,77,10000,3.84,345,1647720080,1647763717,100
Guaíra,3461995,BR,-48.3106,-20.3183,28.81,30.72,28.81,28.81,1014,60,10000,1.61,66,1647681402,1647725120,89
Evensk,2125693,RU,159.2333,61.95,-16,-22.39,-16,-16,1027,87,10000,2.77,17,1647717979,1647761707,100
Kiryat Gat,293842,IL,34.7642,31.61,14.38,12.16,13,15.45,1019,11,10000,7.14,314,1647661584,1647705071,15
Kifrī,94298,IQ,44.9661,34.6959,19.86,18.48,19.86,19.86,1013,22,10000,5.37,206,1647659141,1647702618,48
Tieling,2034439,CN,123.8414,42.2931,-3.16,-3.16,-3.16,-3.16,1020,66,10000,1.23,10,1647640239,1647683668,46
Buchanan,2278158,LR,-10.0467,5.8808,29.37,32.95,29.37,29.37,1009,67,10000,4.56,238,1647672293,1647715866,58
Merauke,2082539,ID,140.3333,-8.4667,27.26,30.55,27.26,27.26,1007,82,10000,1.59,255,1647636169,1647679824,96
Chaman,1181611,PK,66.4512,30.9236,20.38,18.89,20.38,20.38,1011,16,10000,3.49,318,1647653985,1647697463,0
Washington,5815135,US,-120.5015,47.5001,2.79,2.79,0.52,4.4,1010,79,10000,1.31,301,1647698804,1647742362,100
Fort Nelson,5955902,CA,-122.7002,58.8053,-8.23,-8.23,-8.23,-8.23,1003,79,10000,1.03,360,1647699301,1647742921,75
Arlit,2447513,NE,7.3853,18.7369,36.95,33.94,36.95,36.95,1007,7,10000,3.34,239,1647668134,1647711660,7
